brand,sku,price_positioning,offer_price,regular_price,basket_price,discount_price
saloni,1172775.8421052631,21.473425260568394,370.2368421052632,575.2631578947369,371.0263157894737,205.02631578947367
salvatore ferragamo,1145811.0,7.142857142857143,600.75,797.5,600.75,196.75
sea,1162363.2,45.0346780650935,383.3,471.5,384.3,88.2
see by chloé,1155320.75,29.93238804657028,232.775,327.95,234.275,95.175
self-portrait,1161254.0,31.0761059995942,236.16666666666666,303.2916666666667,237.625,67.125
seren,1141618.0,0.0,435.0,725.0,435.0,290.0
sies marjan,1166388.0454545454,5.869352188015035,461.1136363636364,971.9090909090909,461.5681818181818,510.79545454545456
silvia tcherassi,1151221.0,0.0,214.0,535.0,216.5,321.0
simon miller,1154456.2222222222,22.025912838633687,264.22333333333336,437.77777777777777,266.4455555555556,173.55444444444444
simone rocha,1177805.3125,20.206551566586775,379.65625,581.34375,380.90625,201.6875
skin,1159204.1666666667,83.33333333333333,143.91666666666666,201.16666666666666,148.08333333333334,57.25
slvrlake,1155800.5,0.0,143.55,261.0,148.55,117.45
solace london,1161175.6666666667,0.0,271.3333333333333,523.3333333333334,274.6666666666667,252.0
solid & striped,1156351.375,25.0,59.637499999999996,105.8125,64.6375,46.175
sophia webster,1117193.7222222222,0.0,298.75,402.97222222222223,300.69444444444446,104.22222222222223
sophie bille brahe,1151292.0,100.0,1211.6666666666667,1211.6666666666667,1211.6666666666667,0.0
sorel,1076759.3333333333,33.333333333333336,109.0,125.66666666666667,114.0,16.666666666666668
spanx,1066031.75,75.0,63.125,63.125,68.125,0.0
spinelli kilcollin,1179549.0,0.0,4330.0,4330.0,4330.0,0.0
sprwmn,1158922.0,40.0,1001.6,1001.6,1001.6,0.0
stand studio,1169240.0,100.0,160.0,160.0,165.0,0.0
staud,1151565.5789473683,35.56618819776715,120.44736842105263,212.8421052631579,124.92105263157895,92.39473684210526
stella mccartney,1149877.0,25.230251807275952,472.4102564102564,696.9102564102565,473.1794871794872,224.5
stine goya,1149316.375,12.5,189.25,231.875,192.375,42.625
stuart weitzman,1083053.2857142857,57.142857142857146,529.2857142857143,552.8571428571429,529.2857142857143,23.571428571428573
studio amelia,1173806.5,50.0,148.75,200.0,153.75,51.25
tabitha simmons,1163483.125,13.379349470499243,335.75,531.875,336.375,196.125
talbot runhof,1173619.4,0.0,1212.0,1212.0,1212.0,0.0
temperley london,1162625.2666666666,23.101255059360025,731.9600000000002,1055.9066666666668,731.9600000000002,323.9466666666667
templa,1152363.0,0.0,1430.0,1430.0,1430.0,0.0
the elder statesman,1179912.0,66.66666666666667,328.3333333333333,656.6666666666666,328.3333333333333,328.3333333333333
the row,1140134.8985507246,23.72797279455719,1051.1304347826087,1330.2971014492753,1051.2028985507247,279.1666666666667
the upside,1177068.0,100.0,209.0,209.0,209.0,0.0
the vampire's wife,1182198.8333333333,16.119221411192214,609.9166666666666,1102.5,609.9166666666666,492.5833333333333
theory,1158519.7,10.0,328.6,502.5,330.1,173.9
thom browne,1166547.6666666667,0.0,678.0,1158.0,678.0,480.0
three graces london,1153438.125,12.5,277.75,630.0,279.625,352.25
tibi,1161057.5555555555,13.297253343304508,334.962962962963,583.0555555555555,336.0740740740741,248.09259259259258
tod's,1062116.9375,17.79054054054054,328.3125,419.125,328.9375,90.8125
tom ford,1153545.0,50.0,1339.125,1552.5,1339.125,213.375
tory burch,1149090.4545454546,38.72727272727273,313.72727272727275,407.27272727272725,315.54545454545456,93.54545454545455
